Company,Industry
MULTIPLAN,Real Estate Management & Development
GENTERA,Financial Services
MERCADOLIBRE,Consumer Discretionary Distribution & Retail
B3,Financial Services
GRUPO MEXICO,Materials
VISTA OIL & GAS,Energy
LOCAWEB,Software & Services
ITAU,Banks
BANCO BTG PACTUAL,Financial Services
EQUATORIAL ENERGIA,Utilities
ITAUCORP,Banks
DIRECIONAL ENGENHARIA,Consumer Durables & Apparel
GRUPO FINANCIERO BANORTE,Banks
CREDICORP,Banks
M DIAS BRANCO,"Food, Beverage & Tobacco"
AXIA ENERGIA,Utilities
DLOCAL,Financial Services
MILLS ESTRUTURAS,Capital Goods
CYRELA,Consumer Durables & Apparel
BRAVA ENERGIA,Energy
LOJAS RENNER,Consumer Discretionary Distribution & Retail
INVERSIONES LA CONSTRUCCION,Financial Services
LOCALIZA,Transportation
PETRO RIO,Energy
PARQUE ARAUCO,Real Estate Management & Development
GRUPO CEMENTOS CHIHUAHUA,Materials
COSAN,Energy
FLEURY,Health Care Equipment & Services
AGI INC,Banks
SOQUIMICH,Materials
MEGACABLE,Media & Entertainment
GRUPO AEROPORTUARIO SURESTE,Transportation
VULCABRAS AZALEIA,Consumer Durables & Apparel
BUENAVENTURA,Materials
RUMO LOGISTICA,Transportation
VIVARA,Consumer Durables & Apparel
INTERCORP,Banks
GRUPO SPORTS,Consumer Services
ENTEL,Telecommunication Services
COGNA EDUCACAO,Consumer Services
MINSUR,Materials
WAL-MART MEXICO,Consumer Staples Distribution & Retail
OPERADORA SITES MEXICANOS,Telecommunication Services
C&A MODAS,Consumer Discretionary Distribution & Retail
GRUPO TRAXION,Transportation
KIMBERLY-CLARK MEXICO,Household & Personal Products
CCU,"Food, Beverage & Tobacco"
NUBANK,Banks
LOCALIZA RENT A CAR,Transportation
TRANSPORTADORA GAS SUR,Energy
MARCOPOLO,Capital Goods
REDE DOR SAO LUIZ,Health Care Equipment & Services
REGIONAL,Banks
GRUPO INV. SURAMERICANA,Financial Services
PROCAPS,"Pharmaceuticals, Biotechnology & Life Sciences"
ALSEA,Consumer Services
TOTVS,Software & Services
FALABELLA,Consumer Discretionary Distribution & Retail
RAIA DROGASIL,Consumer Staples Distribution & Retail
BANCO CHILE,Banks
BANCO DO BRASIL,Banks
FOMENTO ECONOMICO MEXICANO,"Food, Beverage & Tobacco"
CMPC,Materials
ENGIE BRASIL ENERGIA,Utilities
PORTO SEGURO,Insurance
GRUPO COMERCIAL CHEDRAUI,Consumer Staples Distribution & Retail
GRUPO AEROPORTUARIO CENTRO NORTE,Transportation
CAIXA SEGURIDADE PARTICIPACOES,Insurance
MBRF GLOBAL FOODS,"Food, Beverage & Tobacco"
CPFL ENERGIA,Utilities
ENEL CHILE,Utilities
BANCOLOMBIA,Banks
GRUMA,"Food, Beverage & Tobacco"
COPEC,Energy
MOTIVA INFRAESTRUTURA,Transportation
PROMOTORA Y OPERADORA DE INF,Transportation
KLABIN,Materials
ENERGISA,Utilities
STONECO,Financial Services
MALL PLAZA,Real Estate Management & Development
INTERCONEXION ELECTRICA,Utilities
ALFA,Capital Goods
CENCOSUD,Consumer Staples Distribution & Retail
ULTRAPAR,Energy
GRUPO FINANCIERO INBURSA,Banks
ENEVA,Utilities
GRUPO CARSO,Capital Goods
CIA ENERGETICA MINAS GERAIS,Utilities
TIM PARTICIPACOES,Telecommunication Services
FIBRA UNO,Equity Real Estate Investment Trusts (REITs)
GERDAU,Materials
BIMBO,"Food, Beverage & Tobacco"
PROLOGIS PROPERTY MEXICO,Equity Real Estate Investment Trusts (REITs)
BB SEGURIDADE,Insurance
LATAM AIRLINES,Transportation
XP,Financial Services
COCA-COLA FEMSA,"Food, Beverage & Tobacco"
BANCO SANTANDER,Banks
CIA PARANAENSE DE ENERGIA,Utilities
ARCA CONTINENTAL,"Food, Beverage & Tobacco"
BCI,Banks
VIBRA ENERGIA,Consumer Discretionary Distribution & Retail
JBS,"Food, Beverage & Tobacco"
TELEFONICA BRASIL,Telecommunication Services
SUZANO PAPEL,Materials
GRUPO AEROPORTUARIO DEL PACIFICO,Transportation
EMBRAER,Capital Goods
INDUSTRIAS PENOLES,Materials
VALE,Materials
AMBEV,"Food, Beverage & Tobacco"
CIA. SANEAMENTO BASICO EST. SP,Utilities
ITAUSA,Banks
WEG,Capital Goods
SOUTHERN COPPER,Materials
BANCO BRADESCO,Banks
CEMEX,Materials
AMERICA MOVIL,Telecommunication Services
PETROBRAS,Energy
FERREYROS,Capital Goods
AFYA,Consumer Services
VTEX,Media & Entertainment
FERBASA,Materials
VINCI PARTNERS INVESTMENTS,Financial Services
INTELBRAS,Technology Hardware & Equipment
GRENDENE,Consumer Durables & Apparel
FRAS-LE,Automobiles & Components
PETRORECONCAVO,Energy
SAO PAULO ALPARGATAS,Consumer Durables & Apparel
TRES TENTOS AGROINDUSTRIAL,"Food, Beverage & Tobacco"
MAHLE-METAL LEVE,Automobiles & Components
MINERVA,"Food, Beverage & Tobacco"
VAMOS,Transportation
MINEROS,Materials
ALUMINIO CBA,Materials
DEXCO,Materials
BRASKEM,Materials
BANCO ABC BRASIL,Banks
HIDROVIAS DO BRASIL,Transportation
SIMPAR,Transportation
DANHOS,Equity Real Estate Investment Trusts (REITs)
RIPLEY,Consumer Discretionary Distribution & Retail
INVERSIONES AGUAS METROPOLITANAS,Utilities
CAP,Materials
SMU,Consumer Staples Distribution & Retail
JHSF,Real Estate Management & Development
SAO MARTINHO,"Food, Beverage & Tobacco"
CONCHA Y TORO,"Food, Beverage & Tobacco"
HAPVIDA,Health Care Equipment & Services
LACOMER,Consumer Staples Distribution & Retail
GRUPO MATEUS,Consumer Staples Distribution & Retail
MRV ENGENHARIA,Consumer Durables & Apparel
ORIZON VALORIZACAO DE RESIDUOS,Commercial  & Professional Services
ECORODOVIAS,Transportation
USIMINAS,Materials
IRB BRASIL RESSEGUROS,Insurance
CSN,Materials
BANCO EST. RIO GRANDE DO SUL,Banks
UNIPAR PARTICIPACOES,Materials
SIGMA LITHIUM,Materials
SLC AGRICOLA,"Food, Beverage & Tobacco"
ODONTOPREV,Health Care Equipment & Services
MAGAZINE LUIZA,Consumer Discretionary Distribution & Retail
VOLARIS,Transportation
AZZAS 2154,Consumer Durables & Apparel
GENOMMA LAB,"Pharmaceuticals, Biotechnology & Life Sciences"
ENGIE ENERGIA CHILE,Utilities
PATRIA INVESTMENTS,Financial Services
AUREN ENERGIA,Utilities
BOLSA MEXICANA,Financial Services
VAPORES,Transportation
ALPEK,Materials
ORBIA,Materials
CURY CONSTRUTORA E INCORPORADORA,Consumer Durables & Apparel
AGUAS ANDINAS,Utilities
BRADESPAR,Materials
ALUPAR,Utilities
IGUATEMI,Real Estate Management & Development
COLBUN,Utilities
HYPERMARCAS,"Pharmaceuticals, Biotechnology & Life Sciences"
TELEVISA,Media & Entertainment
SMARTFIT,Consumer Services
GRUPO ARGOS,Materials
GPS,Commercial  & Professional Services
NATURA,Household & Personal Products
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,Utilities
FIBRA MTY,Equity Real Estate Investment Trusts (REITs)
PAGSEGURO DIGITAL,Financial Services
EMBOTELLADORA ANDINA,"Food, Beverage & Tobacco"
CIA DE SANEAMENTO DO PARANA,Utilities
MACQUARIE MEXICO,Equity Real Estate Investment Trusts (REITs)
QUALITAS CONTROLADORA,Insurance
CIA SANEAMENTO MINAS GERAIS,Utilities
INTER & CO,Banks
ALLOS SA,Real Estate Management & Development
CEMENTOS ARGOS,Materials
SENDAS DISTRIBUIDORA,Consumer Staples Distribution & Retail
BANCO DEL BAJIO,Banks
AURA MINERALS,Materials
VESTA,Real Estate Management & Development
MOURA DUBEUX ENGENHARIA,Real Estate Management & Development
PAMPA ENERGIA,Utilities
ANDINO INVEST HOLDING,Transportation
GRUPO SBF,Consumer Discretionary Distribution & Retail
FARM PAGUE MENOS,Consumer Staples Distribution & Retail
CAMANCHACA,"Food, Beverage & Tobacco"
LOMA NEGRA,Materials
BANCO SANTANDER BRASIL,Banks
SALFACORP,Capital Goods
GBM,Financial Services
CONSTELLATION,Energy
COPA HOLDINGS,Transportation
AEROMEXICO,Transportation
QUINENCO,Capital Goods
EL PUERTO DE LIVERPOOL,Consumer Discretionary Distribution & Retail
